ident,type,name,iata_code
SLEV,small_airport,El Salvador Airport,
SLEZ,small_airport,La Esperanza Airport,
SLFA,small_airport,Fatima Airport,
SLFL,small_airport,Florida Airport,
SLFO,small_airport,Flor De Oro Airport,
SLFR,small_airport,Florencia Airport,
SLGM,medium_airport,Guayaramerín Airport,GYA
SLGP,small_airport,Guirapembi Airport,
SLGQ,small_airport,Chiquitos Airport,
SLGY,small_airport,Capitán de Av. Emilio Beltrán Airport,
SLHA,small_airport,Cachascani Airport,
SLHC,small_airport,Huacareta Airport,
SLHJ,small_airport,Huacaraje Airport,BVK
SLHS,small_airport,Chacobos Airport,
SLIG,small_airport,Inglaterra Airport,
SLIN,small_airport,Santa Catalina Airport,
SLIP,small_airport,Samaipata Airport,
SLIR,small_airport,Ibori Airport,
SLIT,small_airport,Itaguazurenda Airport,
SLIX,small_airport,Ixiamas Airport,
SLIY,small_airport,Intiraymi Airport,
SLIZ,small_airport,Izozog Airport,
SLJ,small_airport,Solomon Airport,SLJ
SLJA,small_airport,Jatata Airport,
SLJE,small_airport,San José De Chiquitos Airport,SJS
SLJN,small_airport,San Juan Estancias Airport,
SLJO,small_airport,San Joaquín Airport,SJB
SLJS,small_airport,Josuani Airport,
SLJV,small_airport,San Javier Airport,SJV
SLLB,small_airport,Las Brizas Airport,
SLLH,small_airport,Lago Huachi Airport,
SLLI,small_airport,La India Airport,
SLLJ,small_airport,Laja Airport,
SLLL,small_airport,Laguna Loa Airport,
SLLP,medium_airport,El Alto International Airport,LPB
SLLQ,small_airport,Copaquilla Airport,
SLLS,small_airport,Lagunillas Airport,
SLLZ,small_airport,San Lorenzo Airport,
SLMB,small_airport,Mangabalito Airport,
SLMD,small_airport,Madidi Airport,
SLME,small_airport,Mandeyepecua Airport,
SLMG,small_airport,Magdalena Airport,MGD
SLMM,small_airport,Mora Airport,
SLMN,small_airport,Manuripi Airport,
SLMX,small_airport,Monos Araña Airport,
SLMZ,small_airport,Mizque Airport,
SLNL,small_airport,Cañada Larga Airport,
SLNO,small_airport,Nuevo Mundo Airport,
SLNV,small_airport,Nieve Airport,
SLOR,medium_airport,Juan Mendoza Airport,ORU
SLPA,small_airport,Palmar Airport,
SLPB,small_airport,Palos Blancos Airport,
SLPF,small_airport,Piso Firme Airport,
SLPG,small_airport,Progreso Airport,
SLPI,small_airport,Pitai Airport,
SLPL,small_airport,Padilla Airport,
SLPM,small_airport,Palmira Airport,
SLPN,small_airport,Porvenir Norte Airport,
SLPO,medium_airport,Capitan Nicolas Rojas Airport,POI
SLPR,small_airport,Puerto Rico Airport,PUR
SLPS,medium_airport,Capitán Av. Salvador Ogaya G. airport,PSZ
SLPW,small_airport,El Porvenir Sur Airport,
SLPY,small_airport,Piray Airport,
SLQN,small_airport,Coquinal Airport,
SLRA,small_airport,San Ramón Airport,SRD
SLRB,small_airport,Roboré Airport,RBO
SLRF,small_airport,Refugio Airport,
SLRH,small_airport,Rancho Alegre Airport,
SLRI,medium_airport,Capitán Av. Selin Zeitun Lopez Airport,RIB
SLRL,small_airport,Rosal Airport,
SLRP,small_airport,Rosapata Airport,
SLRR,small_airport,Retiro Airport,
SLRS,small_airport,Rio Seco Airport,
SLRT,small_airport,Santa Rita Airport,
SLRX,small_airport,Rincon Del Tigre Airport,
SLRY,small_airport,Reyes Airport,REY
SLSA,medium_airport,Santa Ana Del Yacuma Airport,SBL
SLSB,small_airport,Capitán Av. German Quiroga G. Airport,SRJ
SLSD,small_airport,San Carlos Gutierrez Airport,
SLSE,small_airport,Santa Teresita Airport,
SLSF,small_airport,San Rafael Airport,
SLSG,small_airport,San Miguel De Gaser Airport,
SLSH,small_airport,Santa Ana De Huachi Airport,
SLSI,small_airport,Capitán Av. Juan Cochamanidis S. Airport,SNG
SLSJ,small_airport,Salinas Airport,
SLSK,small_airport,Santa Rosa Del Sara Airport,
SLSM,small_airport,San Ignacio de Moxos Airport,SNM
SLSN,small_airport,Sanandita Airport,
SLSP,small_airport,Sipuati Airport,
SLSQ,small_airport,Santiago De Chiquitos Airport,
SLSR,small_airport,Santa Rosa De Yacuma Airport,SRB
SLSS,small_airport,Sunsas Airport,
SLSU,medium_airport,Juana Azurduy De Padilla Airport,
SLSV,medium_airport,San Ignacio de Velasco Airport,
SLTA,small_airport,Taquipirenda Airport,
SLTC,small_airport,Tres Cruces Airport,
SLTE,small_airport,Teoponte Airport,
SLTG,small_airport,Santiago Airport,
SLTI,small_airport,San Matías Airport,MQK
SLTJ,medium_airport,Capitan Oriel Lea Plaza Airport,TJA
SLTL,small_airport,San Cristóbal Toldos Airport,
SLTO,small_airport,Totora Airport,
SLTR,medium_airport,Teniente Av. Jorge Henrich Arauz Airport,TDD
SLTU,small_airport,Turco Airport,
SLTW,small_airport,Tita Airport,
SLTX,small_airport,Tuichi Airport,
SLTY,small_airport,Tiguipa Airport,
SLTZ,small_airport,Tupiza-Mochará Airport,
SLUC,small_airport,Cuevo Airport,
SLUK,small_airport,Curahuara de Carangas Airport,
SLUP,small_airport,Puerto America Airport,
SLUS,small_airport,Urusi Airport,
SLUU,small_airport,Ulla Ulla Airport,
SLUY,small_airport,Uyuni Joya Andina Airport,UYU
SLVA,small_airport,Villa Aroma Airport,
SLVD,small_airport,Covendo Airport,
SLVE,small_airport,Venecia Airport,
SLVG,small_airport,Capitán Av. Vidal Villagomez Toledo Airport,VAH
SLVI,small_airport,Caranavi Airport,
SLVM,medium_airport,Teniente Coronel Rafael Pabón Airport,VLM
SLVN,small_airport,Villa Negrita Airport,
SLVR,large_airport,Viru Viru International Airport,VVI
SLVT,small_airport,Tesoro/La Vertiente Airport,
SLVU,small_airport,Vuelta Grande Airport,
SLVV,small_airport,Villa Elvira Airport,
SLVZ,small_airport,Villazon Airport,
SLYA,medium_airport,Yacuiba Airport,BYC
SLYG,small_airport,Yabog Airport,
SLYI,small_airport,Yapacani Airport,
SLZB,small_airport,San Pedro Rb Airport,
SLZC,small_airport,San Carlos Airport,
SLZF,small_airport,San Francisco Naciff Airport,
SLZJ,small_airport,San Pedro Richard Airport,
SLZV,small_airport,San Vicente Airport,
SMAF,small_airport,Afobakka Airstrip,
SMAN,small_airport,Lawa Antino Airstrip,
SMBG,small_airport,Bakhuys Airstrip,
SMBN,small_airport,Albina Airport,ABN
SMCB,small_airport,Cabana Airstrip,
